,starting_Datetime,ending_Datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_Datetime,cme_angle,CPA_Is_Halo,cme_width,Width_IS_lower_bound,cme_speed,Row description
41,1999-06-23 05:50:00,1999-06-23 05:50:00,12000,2000,NaN,NaN,NaN,1999-06-23 06:06:00,264,False,154,True,450,NaN
42,1999-06-23 07:07:00,1999-06-23 07:07:00,14000,2000,N23E42,8596,M1.7,1999-06-23 07:31:00,NA,True,360,False,1006,uncertain
43,1999-06-28 21:03:00,1999-06-28 21:03:00,3500,1500,N22W44,8592,C3.5,1999-06-28 21:30:00,336,False,184,True,903,NaN
44,1999-06-29 19:20:00,1999-06-29 19:20:00,14000,2000,S14E01,8603,M1.6,1999-06-29 19:54:00,NA,True,360,False,560,NaN
45,1999-07-05 03:10:00,1999-07-05 03:10:00,2000,1000,SW90b,8603,C7.6,1999-07-05 02:54:00,284,False,190,False,670,NaN
46,1999-08-28 18:25:00,1999-08-28 18:25:00,16000,12000,S26W14,8674,X1.1,1999-08-28 18:26:00,120,False,245,False,462,NaN
47,1999-09-03 03:00:00,1999-09-03 03:00:00,2000,1000,S36W24,8679,C2.1,1999-09-03 00:06:00,184,False,175,False,512,NaN
48,1999-09-10 07:30:00,1999-09-10 07:30:00,5500,2000,NW90b,NaN,NaN,1999-09-10 07:54:00,18,False,125,False,1467,NaN
49,1999-10-14 09:10:00,1999-10-14 09:10:00,14000,4000,N11E32,8731,X1.8,1999-10-14 09:26:00,NA,True,360,False,1250,NaN
50,1999-10-17 23:27:00,1999-10-17 23:27:00,11500,10000,N03E38,NaN,NaN,1999-10-18 00:06:00,40,False,87,False,247,NaN
51,1999-11-16 03:27:00,1999-11-16 03:27:00,7000,4000,N17E38,8766,M3.8,1999-11-16 03:06:00,81,False,98,False,636,NaN
52,1999-11-16 05:17:00,1999-11-16 05:17:00,14000,7000,N08W39,8759,M1.8,1999-11-16 05:30:00,285,False,129,False,712,NaN
53,2000-01-18 17:31:00,2000-01-18 17:31:00,14000,500,S19E11,8831,M3.9,2000-01-18 17:54:00,NA,True,360,False,739,NaN
54,2000-01-28 20:20:00,2000-01-28 20:20:00,2200,1100,S31W17,8841,C4.7,2000-01-28 20:12:00,NA,True,360,False,1177,NaN
55,2000-02-05 19:34:00,2000-02-05 19:34:00,5800,2900,N26E52,8858,X1.2,2000-02-05 19:54:00,60,False,76,False,632,NaN
56,2000-02-08 09:05:00,2000-02-08 09:05:00,12000,20,N25E26,8858,M1.3,2000-02-08 09:30:00,NA,True,360,False,1079,NaN
